de;ru
Wann;когда
Wo;где
Woher;откуда
Wohin;куда
Wie viele;сколько
Wie lange;как долго
Wie oft;как часто
welche/welcher/welches;какая/какой/какое

aus;из
wenig;мало

die Aufgabe;задание
mehr;больше
gern;охотно
auch;тоже
buchstabieren;произносить по буквам
ganz;весь/целый
vorstellen;представлять

geben; давать
die Ausbildung;обучение, образование
der Beruf(-e);профессия
von Beruf;по профессии
die Stelle(-n);место (не обязательно рабочее)

arbeiten bei;работать на (компанию)
studieren;учиться (study)
arbeitslos;бeзработные
sehen, schauen; глядеть, смотреть

der Kellner(-);официант
der Lehrer(-);учитель
der Schüler;ученик

allein leben;жить в одиночестве
wohnen in;жить в
geschieden;разведен
verheiratet;женатый

wichtige;важный
machen;делать

denken;думать (внутри головы)
glauben;думать (верить)
meinen;думать (считать)

dieser/diese/dieses;этот/эта(эти)/это
hoch/höher/höchste;высокий/выше/наивысший
der Hund;собака
Hundert;100
die Wohnung;квартира

nichts;ничего
nie;никогда
niemand;никто

lesen;читать
passen;подходить

Angaben;данные (кем-то)
Shau mal!;Взгляни-ка

die Familie(n); Семья
der Vater(''); Отец
die Mutter(''); Мать
Eltern (Pl); Родители

der Sohn(''e); Сын
die Tochter(''); Дочь

der Großvater/Opa(s); Дед/дедушка
die Großmutter('')/Oma(s); Бабушка
Großeltern (Pl); Прародители
die Enkelin(nen); Внучка
der Enkel(-); Внук
der Bruder(''); Брат
die Schwester(n); Сестра
Geschwister (Pl); Братья и сёстры
der (Ehe)Mann(''er); Муж
die (Ehe)Frau(en); Жена

die Sprache(n); язык
sprehen, du sprichst, er spricht; говорить (+ формы du, er)

das Bild(er); изображение
der Freund(e); друг
der Kollege(n); коллега
der Partner(-); партнёр

doch; на самом деле (actually)
ein bisschen; чуть, слегка

mein/meine; мой, моё / моя
dein/deine; твой, твоё / твоя
sein; его (er и es)
ihr; её, их, Ваше
unser; наше
euer/eure; ваше, ваша (неформальные вы)

die Frage; вопрос
die Antwort; ответ
bedeuten; означать
Was bedeutet das Wort Katze?; Что означает слово Кот?


